brewery_id,name,type,abv,ibu,rating,rating_count
0,Long Walk,IPA - American,7.0,57.0,3.61,5722
0,Kung Fu Robot,IPA - American,7.0,43.0,3.65,4870
0,Vitality Light Ale,Blonde Ale,5.0,17.0,3.46,2725
0,Sun Eater,Gruit / Ancient Herbed Ale,4.8,,3.49,2588
0,Highland Scoundrel,Scotch Ale / Wee Heavy,10.6,20.0,3.84,2420
1,Naked Nun,Wheat Beer - Witbier,5.8,,3.6,10949
1,Tripel B,Belgian Tripel,9.3,,3.87,10281
1,Philosophizer,Farmhouse Ale - Saison,7.8,36.0,3.8,9766
1,Hibiscus Saison,Farmhouse Ale - Saison,5.6,33.0,3.65,7332
1,Flyin' Monks,Belgian Quadrupel,10.9,,3.95,6320
2,Fire Eagle,IPA - American,7.3,65.0,3.7,27388
2,Pearl-Snap,Pilsner - German,5.3,45.0,3.55,24024
2,Peacemaker,Golden Ale,5.0,15.0,3.49,13802
2,Black Thunder,Schwarzbier,5.3,45.0,3.68,9352
2,Bloodwork Orange IPA,IPA - American,7.0,72.0,3.74,10104
3,Vulcan,IPA - Rye,6.5,45.0,3.7,3179
3,Recalcitrant Dockhand,Porter - American,6.3,31.0,3.84,1589
3,Waterloo,Sour - Berliner Weisse,3.1,6.0,3.75,1364
3,Elba,Wheat Beer - American Pale Wheat,4.4,16.0,3.57,829
3,Pneuma,Pale Ale - American,5.4,36.0,3.66,705
4,Electric Lederhosen,Lager - Vienna,5.0,15.0,3.71,595
4,Propeller Head,IPA - American,6.6,50.0,3.63,602
4,Sol Surfer,Pale Ale - American,5.2,31.0,3.61,497
4,Pillow Fort,Pale Ale - New England,5.6,37.0,3.76,470
4,Lightning Wizard,Wheat Beer - Witbier,4.3,9.0,3.67,477
5,Celis White (US Only),Wheat Beer - Witbier,4.9,14.0,3.65,11294
5,Citrus Grandis IPA,IPA - New England,5.0,45.0,3.57,5175
5,Celis Raspberry,Fruit Beer,4.9,,3.6,4560
5,Celis Pale Bock,Bock - Single / Traditional,4.9,12.0,3.53,4510
5,Celis Grand Cru,Belgian Tripel,8.6,,3.75,4045
6,Blur Texas Hefe,Hefeweizen,4.6,12.0,3.65,7802
6,Envy Amber,Red Ale - American Amber / Red,4.8,26.0,3.49,3985
6,Lady Bird American IPA,IPA - American,7.2,48.0,3.65,4007
6,Alibi Blonde,Blonde Ale,4.3,17.0,3.46,3443
6,Tuxedo Tshirt Black IPA,IPA - Black / Cascadian Dark Ale,6.5,41.0,3.63,2558
7,Northwestern Pale Ale,Pale Ale - American,5.2,,3.64,277
7,Red Planet,Red Ale - American Amber / Red,4.8,,3.55,252
7,Hop Gold,Golden Ale,5.2,,3.53,242
7,Bombay IPA,IPA - American,6.8,,3.77,261
7,Jim Dandy IPA,IPA - American,7.0,70.0,3.82,208
8,Lord Zanate IPA,IPA - American,6.9,,3.61,342
8,Comtesse De Duval Saison,Farmhouse Ale - Saison,4.6,28.0,3.44,235
8,Sculptor Formosa,Porter - Coffee,6.5,,3.78,181
8,Dutchess of Oltorf,Roggenbier,4.3,,3.44,189
8,Professor Pleasant,Pale Ale - American,5.4,,3.44,171
9,Air Racer IPA,IPA - American,7.1,60.0,3.53,1201
9,Flying Man Honey Wheat,Wheat Beer - Other,5.2,17.0,3.49,894
9,Water Bomber Watermelon Wheat,Wheat Beer - American Pale Wheat,5.2,18.0,3.53,668
9,Supersonic Blonde,Blonde Ale,5.5,20.0,3.53,483
9,Phantom Works Chipotle Stout,Stout - Other,6.9,,3.68,406
10,Dale's Pale Ale,Pale Ale - American,6.5,65.0,3.64,294798
10,Pinner,IPA - Session / India Session Ale,4.9,35.0,3.67,176187
